College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Academic_Efficiency,Salary
CLG0073,112.0,8.77,9.01,3,1,1,9,4,1,101.3,516400.0
CLG0097,81.0,8.61,9.11,9,1,8,7,4,0,99.19999999999999,0.0
CLG0070,103.0,5.7,5.97,8,1,2,9,2,0,70.0,0.0
CLG0014,70.0,9.39,9.27,8,0,4,3,4,0,99.69999999999999,0.0
CLG0006,80.0,5.9,5.96,10,1,6,7,1,0,67.6,0.0
CLG0082,102.0,8.99,8.86,5,0,1,6,1,0,98.8,0.0
CLG0090,111.0,7.28,6.98,1,0,3,2,3,0,80.9,0.0
CLG0036,102.0,6.64,6.39,10,0,0,6,5,0,74.1,0.0
CLG0036,98.0,5.79,5.51,9,0,10,3,0,0,64.89999999999999,0.0
CLG0075,95.0,5.84,5.89,2,1,2,2,1,0,68.4,0.0
CLG0018,77.0,8.31,8.72,1,1,5,5,1,0,94.9,0.0
CLG0015,89.0,7.75,8.16,6,1,1,5,1,0,90.5,0.0
CLG0094,93.0,5.61,5.16,1,1,7,2,1,0,60.900000000000006,0.0
CLG0089,115.0,5.56,5.14,10,1,6,3,0,0,62.9,0.0
CLG0016,105.0,5.36,5.11,10,0,2,8,0,0,61.6,0.0
CLG0076,73.0,8.72,8.48,10,1,0,5,5,0,92.10000000000001,0.0
CLG0014,104.0,8.56,8.15,7,0,9,8,4,1,91.9,378000.0
CLG0047,94.0,5.29,5.18,7,1,3,10,5,0,61.199999999999996,0.0
CLG0054,89.0,7.8,7.89,1,1,3,4,1,0,87.8,0.0
CLG0058,109.0,5.42,5.5,10,0,10,4,1,0,65.9,0.0
CLG0077,115.0,9.52,9.56,5,0,4,6,3,1,107.10000000000001,439900.0
CLG0030,113.0,9.54,9.38,3,0,2,10,3,1,105.10000000000001,431700.00000000006
CLG0100,87.0,8.49,8.7,2,0,10,5,3,0,95.7,0.0
CLG0046,95.0,9.63,9.96,5,0,1,5,3,0,109.10000000000001,0.0
CLG0016,104.0,9.06,8.91,5,0,1,9,4,1,99.5,408400.0
CLG0001,114.0,9.14,8.73,2,1,7,6,2,1,98.70000000000002,506200.0
CLG0041,92.0,7.85,7.65,6,0,6,3,3,0,85.7,0.0
CLG0093,97.0,6.53,6.17,7,0,0,4,3,0,71.4,0.0
CLG0027,83.0,6.09,6.06,1,0,8,9,0,0,68.89999999999999,0.0
CLG0077,82.0,6.64,6.3,3,0,2,6,5,0,71.2,0.0
CLG0062,112.0,8.14,8.1,4,0,2,8,1,1,92.2,380000.0
CLG0081,120.0,5.86,5.58,2,0,0,7,4,0,67.8,0.0
CLG0028,98.0,6.29,6.53,10,1,10,1,1,0,75.1,0.0
CLG0020,115.0,7.34,6.87,5,1,3,1,2,0,80.2,0.0
CLG0055,105.0,6.17,6.22,4,0,9,10,4,0,72.69999999999999,0.0
CLG0051,90.0,7.94,7.61,2,0,10,7,2,0,85.10000000000001,0.0
CLG0069,105.0,9.62,9.12,1,1,1,2,1,0,101.69999999999999,0.0
CLG0088,123.0,8.74,9.11,8,0,2,9,0,1,103.39999999999999,425900.0
CLG0073,99.0,8.33,8.5,2,0,10,10,3,1,94.9,389500.0
CLG0097,123.0,7.91,7.51,4,0,0,9,1,0,87.39999999999999,0.0
CLG0034,60.0,7.44,7.6,10,1,2,2,4,0,82.0,0.0
CLG0027,112.0,5.93,6.04,5,0,3,9,3,1,71.6,297600.0
CLG0097,101.0,9.47,9.44,2,0,5,9,4,1,104.49999999999999,428100.0
CLG0038,95.0,6.24,6.16,10,0,2,10,2,0,71.1,0.0
CLG0029,101.0,5.46,5.85,9,1,10,6,4,0,68.6,0.0
CLG0035,70.0,8.75,8.5,2,0,5,5,0,0,92.0,0.0
CLG0020,96.0,5.88,5.78,6,0,1,10,2,0,67.4,0.0
CLG0019,105.0,6.86,6.69,7,0,10,2,5,0,77.4,0.0
CLG0005,122.0,5.14,5.41,6,0,7,6,5,0,66.3,0.0
CLG0025,92.0,5.69,6.11,4,0,4,9,1,0,70.3,0.0
CLG0093,87.0,5.87,6.22,1,0,0,3,3,0,70.89999999999999,0.0
CLG0026,92.0,5.27,5.57,2,0,5,3,3,0,64.9,0.0
CLG0051,113.0,8.28,8.77,10,0,2,4,0,0,98.99999999999999,0.0
CLG0066,104.0,9.19,9.39,10,1,3,10,4,1,104.30000000000001,527600.0
CLG0061,92.0,6.87,7.12,6,0,9,4,1,0,80.4,0.0
CLG0015,107.0,9.37,9.85,8,1,7,1,5,0,109.2,0.0
CLG0045,101.0,6.07,5.58,3,1,7,2,4,0,65.89999999999999,0.0
CLG0006,114.0,6.63,6.76,7,0,10,6,5,0,79.0,0.0
CLG0058,89.0,5.75,5.99,9,0,7,5,4,0,68.80000000000001,0.0
CLG0001,95.0,8.1,8.52,4,1,4,10,0,0,94.69999999999999,0.0
CLG0073,94.0,7.1,7.48,7,0,0,4,5,0,84.20000000000002,0.0
CLG0043,78.0,8.07,8.41,7,0,8,10,2,1,91.89999999999999,375400.0
CLG0016,104.0,8.81,9.26,10,0,10,9,5,1,103.0,422400.0
CLG0014,103.0,7.73,7.77,9,1,8,2,2,0,87.99999999999999,0.0
CLG0074,100.0,8.14,7.65,3,0,7,8,0,0,86.5,0.0
CLG0019,96.0,9.68,9.19,1,1,10,4,0,0,101.49999999999999,0.0
CLG0051,78.0,6.5,6.54,8,1,2,9,0,0,73.2,0.0
CLG0008,93.0,6.8,6.74,4,0,5,4,4,0,76.7,0.0
CLG0048,94.0,8.59,8.54,2,0,6,2,5,0,94.8,0.0
CLG0012,87.0,8.06,7.96,5,0,3,6,5,0,88.3,0.0
CLG0070,97.0,5.89,6.31,4,0,9,9,4,0,72.8,0.0
CLG0035,106.0,6.88,6.74,1,1,6,7,1,0,78.0,0.0
CLG0070,128.0,7.34,7.7,7,0,8,1,0,0,89.8,0.0
CLG0006,102.0,7.1,7.5,4,0,5,9,4,0,85.2,0.0
CLG0099,103.0,5.89,5.89,8,1,1,6,2,0,69.2,0.0
CLG0011,98.0,9.62,9.57,9,0,5,9,5,1,105.5,431800.0
CLG0038,71.0,8.81,9.07,8,1,2,2,5,0,97.8,0.0
CLG0091,99.0,7.41,7.62,1,0,6,7,0,0,86.10000000000001,0.0
CLG0026,100.0,8.4,8.23,8,1,2,8,2,1,92.30000000000001,479200.0
CLG0028,136.0,9.49,9.09,5,0,7,8,3,1,104.5,431600.0
CLG0072,97.0,5.68,5.44,1,1,10,5,1,0,64.10000000000001,0.0
CLG0089,104.0,6.25,5.88,9,1,10,7,3,0,69.2,0.0
CLG0083,99.0,7.71,7.5,9,0,4,7,1,0,84.9,0.0
CLG0080,82.0,9.0,8.76,7,0,2,3,0,0,95.8,0.0
CLG0050,117.0,5.18,5.32,7,0,0,2,5,0,64.9,0.0
CLG0058,111.0,9.92,10.37,1,0,4,5,1,0,114.79999999999998,0.0
CLG0026,111.0,7.27,7.46,9,0,9,4,4,0,85.69999999999999,0.0
CLG0044,86.0,6.8,7.23,1,1,9,8,2,0,80.9,0.0
CLG0015,121.0,6.46,6.74,7,0,10,5,5,0,79.5,0.0
CLG0076,78.0,5.87,6.1,9,0,2,9,4,0,68.8,0.0
CLG0024,108.0,8.96,8.87,9,0,3,7,0,0,99.49999999999999,0.0
CLG0077,132.0,9.78,9.6,5,0,9,1,3,1,109.2,450000.0
CLG0059,85.0,7.07,7.42,6,0,3,2,2,0,82.7,0.0
CLG0057,91.0,9.76,10.17,2,0,2,8,0,0,110.8,0.0
CLG0017,101.0,9.12,9.07,2,0,5,10,4,1,100.8,413300.0
CLG0077,92.0,7.41,6.92,10,0,5,8,4,0,78.4,0.0
CLG0081,76.0,8.37,8.66,9,0,0,2,1,0,94.19999999999999,0.0
CLG0001,101.0,7.17,6.96,1,0,3,7,1,0,79.69999999999999,0.0
CLG0011,84.0,7.79,7.3,10,1,0,8,3,0,81.4,0.0
CLG0020,107.0,5.29,5.59,5,1,6,4,1,0,66.6,0.0
CLG0031,86.0,8.48,8.5,7,0,6,3,1,0,93.6,0.0
CLG0099,123.0,5.26,5.45,10,1,5,10,1,0,66.8,0.0
CLG0039,88.0,9.09,9.5,6,0,10,9,3,1,103.8,424000.0
CLG0063,95.0,9.12,9.16,6,0,1,2,0,0,101.1,0.0
CLG0006,112.0,6.19,6.19,6,0,3,3,5,0,73.10000000000001,0.0
CLG0099,81.0,6.62,6.41,8,0,2,8,2,0,72.19999999999999,0.0
CLG0028,103.0,7.41,7.22,7,1,10,2,0,0,82.5,0.0
CLG0051,119.0,7.98,8.28,5,0,7,5,5,1,94.7,390700.0
CLG0053,75.0,6.44,6.39,10,0,1,10,5,0,71.4,0.0
CLG0044,102.0,7.96,7.62,2,1,9,8,0,0,86.4,0.0
CLG0065,103.0,6.49,6.08,10,0,1,7,0,0,71.1,0.0
CLG0080,111.0,5.28,5.25,6,1,0,4,4,0,63.6,0.0
CLG0012,81.0,5.01,4.97,10,0,8,10,2,0,57.8,0.0
CLG0028,80.0,5.51,5.66,5,0,2,9,2,0,64.6,0.0
CLG0079,107.0,8.96,8.93,4,1,7,2,4,0,100.0,0.0
CLG0072,104.0,9.81,9.45,10,0,6,7,5,0,104.9,0.0
CLG0068,103.0,7.13,7.14,5,0,0,7,4,0,81.69999999999999,0.0
CLG0095,105.0,7.56,7.97,9,0,10,7,5,0,90.2,0.0
CLG0030,89.0,5.73,5.39,2,1,5,7,1,0,62.8,0.0
CLG0035,103.0,7.76,7.95,6,0,7,5,4,0,89.8,0.0
CLG0006,104.0,5.72,5.81,9,0,5,1,3,0,68.5,0.0
CLG0085,89.0,8.06,8.31,10,0,8,4,4,0,92.00000000000001,0.0
CLG0030,127.0,9.67,9.32,5,1,9,5,1,0,105.9,0.0
CLG0080,107.0,5.98,6.42,6,0,2,10,4,0,74.9,0.0
CLG0063,82.0,8.82,8.94,10,0,5,4,3,0,97.6,0.0
CLG0008,109.0,5.12,5.47,4,1,9,7,4,0,65.6,0.0
CLG0091,85.0,6.88,6.63,5,0,3,2,5,0,74.8,0.0
CLG0033,111.0,5.55,5.79,8,0,9,2,0,0,69.0,0.0
CLG0043,117.0,6.76,7.04,1,1,2,2,2,0,82.10000000000001,0.0
CLG0076,87.0,5.87,5.77,1,1,7,10,3,0,66.39999999999999,0.0
CLG0043,114.0,6.87,6.75,10,1,6,3,3,0,78.9,0.0
CLG0045,106.0,7.09,7.25,4,1,6,5,3,0,83.1,0.0
CLG0087,112.0,6.5,6.09,10,1,4,10,5,1,72.1,399600.0
CLG0054,128.0,8.28,8.52,3,1,0,9,0,1,97.99999999999999,504800.0
CLG0065,96.0,9.59,9.13,5,1,5,3,0,0,100.9,0.0
CLG0007,88.0,7.0,6.69,10,1,5,6,2,0,75.7,0.0
CLG0036,86.0,5.96,6.12,8,1,2,6,1,0,69.8,0.0
CLG0025,87.0,6.35,5.95,1,0,4,6,2,0,68.2,0.0
CLG0085,98.0,9.27,9.74,5,0,8,5,3,0,107.2,0.0
CLG0037,105.0,7.86,8.23,5,0,6,2,3,0,92.80000000000001,0.0
CLG0012,104.0,7.28,7.41,2,1,7,1,3,0,84.5,0.0
CLG0032,112.0,5.75,6.07,5,1,8,5,2,0,71.9,0.0
CLG0049,100.0,7.25,7.64,8,1,5,8,1,0,86.39999999999999,0.0
CLG0038,121.0,6.39,6.15,10,1,4,10,1,0,73.6,0.0
CLG0056,96.0,9.72,10.07,7,0,9,5,2,0,110.3,0.0
CLG0080,140.0,9.42,9.11,2,0,4,3,5,1,105.1,434400.0
CLG0065,109.0,5.42,5.33,6,1,4,3,3,0,64.2,0.0
CLG0026,87.0,7.58,7.64,10,0,3,2,2,0,85.1,0.0
CLG0057,83.0,6.13,6.34,1,0,1,7,2,0,71.7,0.0
CLG0014,107.0,7.05,6.58,10,0,6,2,4,0,76.5,0.0
CLG0056,96.0,9.38,9.17,10,1,6,6,4,0,101.3,0.0
CLG0070,110.0,7.64,7.75,3,1,7,8,0,0,88.5,0.0
CLG0041,107.0,6.67,6.53,6,0,7,8,0,0,76.0,0.0
CLG0051,98.0,6.04,6.32,9,1,10,2,2,0,73.0,0.0
CLG0084,87.0,9.0,9.15,1,0,7,6,4,0,100.2,0.0
CLG0067,77.0,8.12,7.85,6,1,8,3,3,0,86.2,0.0
CLG0012,93.0,7.34,6.99,2,1,5,9,0,0,79.2,0.0
CLG0097,112.0,6.09,6.22,9,1,3,3,3,0,73.39999999999999,0.0
CLG0049,103.0,6.67,6.62,2,1,1,1,3,0,76.5,0.0
CLG0001,81.0,9.8,9.47,3,0,4,9,0,0,102.8,0.0
CLG0019,102.0,7.6,7.43,2,1,5,8,5,0,84.5,0.0
CLG0066,105.0,7.0,6.8,4,1,6,2,2,0,78.5,0.0
CLG0058,86.0,7.61,7.22,4,0,5,10,4,0,80.8,0.0
CLG0087,102.0,8.89,8.94,10,1,3,10,0,0,99.6,0.0
CLG0072,100.0,6.7,6.96,1,1,3,3,1,0,79.6,0.0
CLG0098,82.0,5.89,5.97,8,1,6,7,1,0,67.89999999999999,0.0
CLG0004,105.0,7.92,8.25,5,1,0,6,3,0,93.0,0.0
CLG0008,108.0,8.33,7.96,8,0,2,8,1,0,90.39999999999999,0.0
CLG0027,116.0,8.56,8.5,6,1,9,10,3,1,96.6,498000.0
CLG0026,115.0,9.41,9.52,2,0,1,5,5,1,106.69999999999999,438300.0
CLG0097,79.0,6.86,7.04,7,0,1,5,5,0,78.30000000000001,0.0
CLG0043,85.0,5.38,5.58,10,0,6,2,5,0,64.3,0.0
CLG0040,107.0,9.79,10.02,9,0,4,6,5,0,110.89999999999999,0.0
CLG0050,107.0,7.18,7.33,7,1,2,5,5,0,84.0,0.0
CLG0067,107.0,8.12,7.71,5,0,8,9,4,0,87.8,0.0
CLG0073,141.5,8.33,8.53,4,0,8,3,0,0,99.45,0.0
CLG0074,108.0,7.73,7.95,8,0,2,5,0,0,90.3,0.0
CLG0029,117.0,6.03,6.52,6,0,1,3,4,0,76.89999999999999,0.0
CLG0085,114.0,8.78,8.97,5,1,2,9,3,1,101.10000000000001,515800.0
CLG0042,109.0,9.02,9.21,7,1,8,9,5,1,103.00000000000001,522900.00000000006
CLG0018,95.0,7.76,7.77,3,1,7,10,2,0,87.19999999999999,0.0
CLG0081,111.0,7.44,7.81,9,0,2,7,1,0,89.19999999999999,0.0
CLG0021,88.0,5.57,6.07,4,0,3,1,5,0,69.5,0.0
CLG0067,96.0,5.42,5.7,4,0,4,9,4,0,66.6,0.0
CLG0062,92.0,6.7,6.81,8,0,3,9,1,0,77.3,0.0
CLG0027,101.0,6.55,6.13,6,1,10,10,2,0,71.39999999999999,0.0
CLG0096,134.0,9.77,10.0,1,1,1,5,3,1,113.4,567000.0
CLG0093,71.0,8.92,9.13,2,0,10,2,5,0,98.4,0.0
CLG0047,110.0,8.3,8.58,9,0,8,1,1,0,96.8,0.0
CLG0093,75.0,7.59,7.21,6,0,1,2,3,0,79.6,0.0
CLG0026,92.0,5.84,5.99,7,1,4,4,5,0,69.10000000000001,0.0
CLG0009,116.0,9.89,9.69,9,0,10,4,2,1,108.49999999999999,445600.0
CLG0091,100.0,6.88,7.14,3,1,8,1,3,0,81.39999999999999,0.0
CLG0012,83.0,5.53,5.27,5,1,7,8,2,0,61.0,0.0
CLG0016,89.0,7.47,7.65,5,1,0,10,0,0,85.4,0.0
CLG0047,110.0,9.37,9.16,10,0,2,8,1,0,102.6,0.0
CLG0056,89.0,9.44,8.95,7,1,9,8,1,0,98.4,0.0
CLG0066,103.0,5.05,5.18,2,1,8,5,2,0,62.099999999999994,0.0
CLG0051,100.0,9.43,9.04,4,0,2,10,2,1,100.39999999999999,411599.99999999994
CLG0027,90.0,6.36,6.52,4,0,10,2,4,0,74.19999999999999,0.0
CLG0073,132.0,5.19,5.62,8,1,3,4,2,0,69.4,0.0
CLG0066,109.0,9.24,9.71,10,1,2,1,2,0,108.00000000000001,0.0
CLG0062,69.0,9.32,9.06,3,0,6,10,3,1,97.50000000000001,396900.0
CLG0071,102.0,7.98,8.29,2,0,8,1,3,0,93.1,0.0
CLG0008,90.0,7.87,7.72,9,0,3,10,1,0,86.2,0.0
CLG0038,112.0,9.07,9.47,4,0,8,3,3,1,105.9,434800.0
CLG0006,88.0,8.93,9.22,9,1,1,4,3,0,101.0,0.0
CLG0059,98.0,9.45,9.02,6,0,1,3,1,0,99.99999999999999,0.0
CLG0019,107.0,7.76,7.67,1,0,8,3,5,0,87.4,0.0
CLG0079,112.0,9.84,9.68,3,0,6,8,0,1,108.0,443200.0
CLG0056,81.0,9.98,10.27,7,0,4,4,4,0,110.79999999999998,0.0
CLG0028,94.0,5.58,5.49,9,1,4,3,3,0,64.30000000000001,0.0
CLG0094,92.0,9.25,9.43,8,1,8,9,0,0,103.5,0.0
CLG0091,90.0,7.5,7.6,5,1,10,1,4,0,85.0,0.0
CLG0010,126.0,6.94,7.42,8,1,3,8,1,0,86.8,0.0
CLG0045,106.0,8.07,8.51,2,0,10,5,3,0,95.69999999999999,0.0
CLG0095,81.0,5.28,5.21,3,0,0,8,5,0,60.2,0.0
CLG0065,113.0,7.53,7.75,8,0,5,10,3,1,88.8,366500.0
CLG0050,131.0,9.35,9.68,9,1,2,3,2,1,109.89999999999999,552700.0
CLG0032,115.0,6.07,6.47,10,0,1,6,3,0,76.2,0.0
CLG0061,77.0,7.13,6.7,8,1,3,7,3,0,74.7,0.0
CLG0016,92.0,9.7,9.5,4,1,8,8,0,0,104.2,0.0
CLG0006,119.0,7.14,6.96,6,0,7,7,0,0,81.5,0.0
CLG0066,89.0,6.79,6.72,5,1,6,7,3,0,76.10000000000001,0.0
CLG0062,106.0,7.2,6.87,4,0,1,2,5,0,79.3,0.0
CLG0066,111.0,7.6,7.6,9,1,0,3,4,0,87.1,0.0
CLG0067,86.0,8.16,8.32,10,0,6,6,1,0,91.8,0.0
CLG0019,99.0,9.0,9.0,3,0,9,3,5,0,99.9,0.0
CLG0004,57.5,7.26,7.43,1,0,4,9,0,0,80.05,0.0
CLG0043,84.0,9.09,8.66,7,0,10,9,5,1,95.0,388400.0
CLG0018,96.0,7.67,8.05,10,1,7,6,5,0,90.1,0.0
CLG0082,81.0,6.69,7.13,8,1,4,1,4,0,79.39999999999999,0.0
CLG0046,124.0,8.29,8.41,3,0,9,1,5,1,96.5,398400.0
CLG0046,78.0,8.59,8.97,3,0,4,4,3,0,97.5,0.0
CLG0085,93.0,7.79,7.42,6,0,7,10,2,0,83.5,0.0
CLG0021,101.0,5.28,5.58,2,0,8,8,0,0,65.89999999999999,0.0
CLG0030,121.0,5.85,5.47,6,0,1,3,5,0,66.8,0.0
CLG0064,78.0,6.43,6.34,5,0,7,4,0,0,71.2,0.0
CLG0041,117.0,6.41,6.23,7,0,6,6,2,0,74.0,0.0
CLG0017,100.0,8.37,8.46,9,0,7,9,3,1,94.60000000000001,388400.00000000006
CLG0005,85.0,5.09,4.89,9,0,2,4,0,0,57.4,0.0
CLG0005,106.0,8.78,8.92,1,0,3,3,3,0,99.8,0.0
CLG0073,102.0,6.33,6.2,7,0,6,10,4,0,72.2,0.0
CLG0075,90.0,6.55,6.91,3,0,4,10,0,0,78.1,0.0
CLG0048,101.0,7.64,7.77,4,1,6,9,3,0,87.79999999999998,0.0
CLG0078,94.0,6.08,5.8,2,1,5,7,4,0,67.4,0.0
CLG0038,101.0,9.42,9.26,1,0,3,9,5,1,102.69999999999999,420900.0
CLG0006,109.0,5.43,5.78,10,1,1,10,0,0,68.7,0.0
CLG0058,123.0,7.22,7.11,3,1,5,6,1,0,83.4,0.0
CLG0014,81.0,9.25,9.29,10,0,5,4,3,0,100.99999999999999,0.0
CLG0072,131.0,8.08,8.23,9,0,5,5,4,1,95.4,394700.0
CLG0094,70.0,6.46,6.31,1,1,0,10,5,0,70.1,0.0
CLG0059,97.0,7.1,6.89,3,0,5,2,1,0,78.6,0.0
CLG0065,108.0,8.53,8.51,5,1,1,3,3,0,95.89999999999999,0.0
CLG0089,104.0,9.87,9.58,3,0,9,5,0,0,106.2,0.0
CLG0013,90.0,9.47,9.25,4,0,4,3,5,0,101.5,0.0
CLG0027,96.0,6.71,6.27,4,0,6,3,3,0,72.3,0.0
CLG0025,92.0,9.99,9.79,1,1,9,9,4,1,107.1,537600.0
CLG0056,91.0,5.02,4.84,6,1,0,4,0,0,57.5,0.0
CLG0068,112.0,5.14,5.6,7,1,4,4,0,0,67.2,0.0
CLG0059,105.0,9.12,9.21,7,1,8,1,5,0,102.60000000000001,0.0
CLG0095,89.0,6.0,6.29,6,0,2,7,0,0,71.8,0.0
CLG0049,113.0,5.3,4.85,7,0,1,10,2,1,59.8,250500.0
CLG0018,104.0,6.19,5.8,3,1,9,9,4,0,68.4,0.0
CLG0081,112.0,7.13,7.44,5,1,1,8,1,0,85.60000000000001,0.0
CLG0075,109.0,8.65,8.77,7,1,2,2,0,0,98.6,0.0
CLG0076,87.0,8.12,7.81,10,0,0,6,4,0,86.8,0.0
CLG0003,91.0,6.19,6.09,5,1,1,10,2,0,70.0,0.0
CLG0079,111.0,7.52,7.56,10,1,5,10,2,1,86.69999999999999,457900.0
CLG0057,109.0,9.63,9.97,2,1,7,5,5,0,110.60000000000001,0.0
CLG0006,99.0,9.08,8.64,6,0,3,8,0,0,96.30000000000001,0.0
CLG0069,101.0,6.62,6.72,7,1,1,1,4,0,77.3,0.0
CLG0031,119.0,9.91,10.13,2,0,4,9,2,1,113.20000000000002,464700.00000000006
CLG0008,91.0,8.54,9.02,10,0,2,9,0,0,99.29999999999998,0.0
CLG0010,108.0,5.31,5.62,8,1,4,7,5,0,67.0,0.0
CLG0003,96.0,5.18,4.96,5,1,2,8,3,0,59.2,0.0
CLG0012,96.0,5.84,6.05,8,0,10,9,3,0,70.1,0.0
CLG0092,116.0,8.64,8.9,3,0,3,5,3,1,100.6,414000.0
CLG0076,112.0,5.92,6.15,2,1,4,2,1,0,72.7,0.0
CLG0094,112.0,7.56,7.88,7,1,6,1,4,0,90.0,0.0
CLG0019,119.0,5.47,5.87,5,1,1,5,5,0,70.60000000000001,0.0
CLG0021,100.0,9.6,9.2,5,0,5,8,3,1,102.0,418000.0
CLG0081,110.0,6.72,6.32,8,0,5,10,2,0,74.2,0.0
CLG0014,95.0,9.54,9.84,9,0,5,4,1,0,107.9,0.0
CLG0075,104.0,9.72,9.47,8,1,6,4,3,0,105.10000000000001,0.0
CLG0029,98.0,5.03,4.59,10,0,10,4,0,0,55.7,0.0
CLG0007,101.0,7.32,7.22,2,0,2,8,2,0,82.3,0.0
CLG0049,108.0,5.12,5.44,10,1,4,7,1,0,65.2,0.0
CLG0065,87.0,9.54,9.17,7,0,8,1,1,0,100.4,0.0
CLG0007,131.0,7.59,7.76,5,0,8,10,2,1,90.69999999999999,375900.0
CLG0014,84.0,5.37,4.87,7,1,6,6,3,0,57.1,0.0
CLG0016,81.0,5.55,5.16,3,1,8,4,5,0,59.7,0.0
CLG0099,117.0,6.92,6.77,4,1,2,2,5,0,79.39999999999999,0.0
CLG0016,111.0,9.7,9.28,7,0,6,3,0,0,103.89999999999999,0.0
CLG0085,109.0,8.46,8.81,2,0,0,4,0,0,99.00000000000001,0.0
CLG0013,109.0,9.34,9.7,2,0,6,10,5,1,107.9,442500.0
CLG0082,99.0,6.83,7.09,1,1,2,7,5,0,80.80000000000001,0.0
CLG0029,86.0,5.22,4.96,1,0,2,1,0,0,58.2,0.0
CLG0085,101.0,9.87,9.89,1,1,6,1,1,0,109.0,0.0
CLG0073,89.0,5.09,4.77,6,1,7,3,3,0,56.599999999999994,0.0
CLG0095,114.0,9.74,9.52,5,1,3,2,5,1,106.6,537800.0
CLG0061,97.0,6.84,6.86,10,1,0,3,5,0,78.30000000000001,0.0
CLG0037,87.0,5.05,5.29,8,0,4,3,2,0,61.599999999999994,0.0
CLG0017,95.0,8.45,8.04,5,1,9,1,4,0,89.89999999999999,0.0
CLG0031,106.0,9.9,9.7,1,1,3,6,0,0,107.6,0.0
CLG0059,91.0,9.83,10.26,8,0,8,8,2,1,111.69999999999999,455900.0
CLG0088,87.0,5.8,5.73,6,0,2,5,5,0,66.0,0.0
CLG0047,103.0,5.91,6.35,8,1,3,1,5,0,73.8,0.0
CLG0006,103.0,7.83,8.32,2,1,9,10,2,1,93.5,484300.0
CLG0032,92.0,8.19,8.22,10,1,2,7,5,0,91.4,0.0
CLG0031,92.0,8.7,8.49,8,0,2,10,0,0,94.10000000000001,0.0
CLG0018,103.0,5.91,6.2,6,0,6,9,4,0,72.3,0.0
CLG0009,78.0,9.8,9.46,1,0,4,7,1,0,102.4,0.0
CLG0003,78.0,8.19,7.94,1,1,4,9,1,0,87.2,0.0
CLG0071,89.0,9.24,9.52,10,0,3,10,3,1,104.1,425300.0
CLG0026,96.0,7.7,7.63,5,0,9,9,5,0,85.89999999999999,0.0
